week,revenue,search_spend,social_spend,tv_spend,display_spend,promotion,discount_pct,holiday
2023-11-26,585519.5,19862.83,18663.12,5867.96,11553.41,0,0.0,0
2023-12-03,678429.25,30890.64,16388.31,66376.47,11023.82,0,0.0,1
2023-12-10,692896.16,35448.16,20660.64,52358.92,8103.73,0,0.0,1
2023-12-17,705987.56,34617.83,19640.94,96595.02,11369.2,0,0.0,1
2023-12-24,702179.16,37569.27,20046.83,5933.73,12482.87,0,0.0,1
2023-12-31,858195.1,37629.85,24662.35,79538.45,15914.36,1,0.3,1
2024-01-07,670260.24,32517.54,25461.59,93782.15,13629.36,0,0.0,1
2024-01-14,565026.49,24417.9,18313.96,4559.47,7769.95,0,0.0,0
2024-01-21,586290.63,26260.86,13315.68,836.92,9991.0,0,0.0,0
2024-01-28,629745.09,26464.16,24458.73,75807.22,11509.44,0,0.0,0
2024-02-04,629436.63,23034.49,18496.93,6924.58,9658.65,0,0.0,0
2024-02-11,620040.59,26860.13,20309.06,6384.78,12818.38,0,0.0,0
2024-02-18,590302.51,27518.58,23914.07,798.9,14937.07,0,0.0,0
2024-02-25,616627.47,34573.0,15063.25,1635.18,13354.55,0,0.0,0
2024-03-03,613177.65,32777.34,15891.03,5948.8,12602.37,0,0.0,0
2024-03-10,574398.31,24651.82,14522.41,185.12,9411.13,0,0.0,0
2024-03-17,601598.78,26352.51,16547.04,7833.8,10842.2,0,0.0,0
2024-03-24,579781.78,22766.6,19797.54,3017.16,12483.03,0,0.0,0
2024-03-31,562130.67,25267.85,19572.56,5754.5,11135.5,0,0.0,0
2024-04-07,596068.34,27813.15,18350.19,7100.57,10849.08,0,0.0,0
2024-04-14,573110.64,30256.9,12832.26,3157.04,10855.57,0,0.0,0
2024-04-21,553501.48,24175.87,9743.44,2553.06,8317.3,0,0.0,0
2024-04-28,595179.55,24080.07,16517.09,4869.93,8670.7,0,0.0,0
2024-05-05,487732.45,19241.13,14714.64,4647.91,8849.71,0,0.0,0
2024-05-12,518263.73,24802.63,17392.74,3273.12,11616.01,0,0.0,0
2024-05-19,518575.37,21684.69,18120.44,4814.2,10536.1,0,0.0,0
2024-05-26,539409.21,22845.51,16544.69,7483.05,10816.59,0,0.0,0
2024-06-02,535806.13,21352.94,18634.43,3741.12,11998.77,0,0.0,0
2024-06-09,497325.85,23245.59,17361.39,1573.94,9590.66,0,0.0,0
2024-06-16,499956.73,17802.66,18660.75,3017.65,12177.68,0,0.0,0
2024-06-23,496564.24,18232.2,15407.35,3152.86,10609.52,0,0.0,0
2024-06-30,585502.96,28595.86,17461.17,1048.87,7895.67,0,0.0,0
2024-07-07,597595.75,17944.93,19068.96,47998.99,13651.85,0,0.0,0
2024-07-14,530435.15,18146.87,21391.03,5476.5,10346.27,0,0.0,0
2024-07-21,526052.07,26615.15,18145.02,2715.82,7226.06,0,0.0,0
2024-07-28,506896.32,29529.62,21209.47,7639.19,9212.28,0,0.0,0
2024-08-04,462270.02,17057.59,19072.52,1948.77,8726.04,0,0.0,0
2024-08-11,502633.81,19277.6,19632.79,791.4,11012.54,0,0.0,0
2024-08-18,486645.1,21272.86,22473.97,6028.04,11070.79,0,0.0,0
2024-08-25,509316.58,25358.68,13890.85,7048.29,8799.05,0,0.0,0
2024-09-01,492558.96,17196.87,15756.55,42324.55,11178.54,0,0.0,0
2024-09-08,502935.14,19467.94,14879.69,1616.7,10399.67,0,0.0,0
2024-09-15,516802.16,22643.75,11928.6,1486.13,9614.25,0,0.0,0
2024-09-22,522577.6,21784.85,16443.84,4176.1,10930.62,0,0.0,0
2024-09-29,523889.77,19580.11,20248.3,3747.33,12294.34,0,0.0,0
2024-10-06,476619.75,20591.83,16666.72,2075.52,5950.77,0,0.0,0
2024-10-13,574811.04,17206.68,17663.92,60347.03,9687.1,0,0.0,0
2024-10-20,530307.87,21004.14,19941.41,3851.93,6624.93,0,0.0,0
2024-10-27,564825.39,21351.19,20337.09,7674.66,11156.39,0,0.0,0
2024-11-03,544457.93,23317.45,15922.55,5220.15,9971.37,0,0.0,0
2024-11-10,509665.44,21458.41,20075.34,3964.05,13109.9,0,0.0,0
2024-11-17,534719.24,25068.78,16290.96,885.54,12448.01,0,0.0,0
2024-11-24,590698.42,31241.49,18617.77,2019.49,14059.99,1,0.1,0
2024-12-01,748909.19,39227.95,19570.83,71150.0,12891.99,1,0.1,1
2024-12-08,683853.49,36383.16,12232.15,6118.43,10028.36,0,0.0,1
2024-12-15,721761.08,36050.96,14406.15,7013.69,8545.7,0,0.0,1
2024-12-22,815783.74,40445.33,21447.32,67057.28,14359.04,1,0.2,1
2024-12-29,744798.99,38816.7,25410.76,7876.55,17324.96,1,0.1,1
2025-01-05,733038.07,38442.86,23640.94,7858.93,10794.69,0,0.0,1
2025-01-12,653786.24,27685.62,14782.9,7623.99,11307.08,0,0.0,0
2025-01-19,702306.11,34700.88,20504.73,83268.06,12480.98,0,0.0,0
2025-01-26,605924.83,33542.51,16524.34,1102.35,8221.5,0,0.0,0
2025-02-02,604287.88,30333.19,21294.12,2435.73,13271.32,0,0.0,0
2025-02-09,654111.75,27187.49,19592.16,4423.19,12295.17,0,0.0,0
2025-02-16,576539.78,26384.66,14492.7,775.82,9827.03,0,0.0,0
2025-02-23,583551.92,33482.01,22654.92,6766.38,10139.08,0,0.0,0
2025-03-02,598128.48,30823.06,17830.97,4934.05,8739.33,0,0.0,0
2025-03-09,619326.88,31539.98,17724.54,4338.92,9355.81,0,0.0,0
2025-03-16,632872.8,24868.91,15720.19,47960.26,11015.24,0,0.0,0
2025-03-23,648526.32,32827.24,16515.78,79235.0,8217.7,0,0.0,0
2025-03-30,632781.09,31291.24,19283.67,1282.5,11695.94,0,0.0,0
2025-04-06,612059.14,26423.05,16953.64,6815.47,7754.9,0,0.0,0
2025-04-13,598231.32,28112.77,18056.54,4673.82,10106.0,0,0.0,0
2025-04-20,670048.27,30042.28,17759.52,5881.04,10659.18,0,0.0,0
2025-04-27,611431.4,29087.92,20316.02,2368.26,15969.26,0,0.0,0
2025-05-04,611277.86,27694.49,15101.61,2970.02,7020.77,0,0.0,0
2025-05-11,567177.97,27868.16,11584.01,3238.84,11840.03,0,0.0,0
2025-05-18,578382.21,27004.0,19216.25,6080.12,11103.75,0,0.0,0
2025-05-25,613692.86,27779.52,15135.5,92555.07,10606.22,0,0.0,0
2025-06-01,552380.71,31286.0,19697.81,1654.51,11161.15,0,0.0,0
2025-06-08,580899.14,18716.4,17823.89,62788.12,11345.43,0,0.0,0
2025-06-15,556591.62,25253.3,16677.14,965.24,9861.92,0,0.0,0
2025-06-22,534218.45,26050.88,18567.7,7168.98,13550.02,0,0.0,0
2025-06-29,547293.37,25984.11,23853.04,803.17,11050.32,0,0.0,0
2025-07-06,669832.96,27579.46,29709.57,2116.32,18691.86,1,0.2,0
2025-07-13,549800.22,19055.06,19137.59,6771.83,9495.66,0,0.0,0
2025-07-20,635700.12,24976.4,19806.82,90225.5,10831.2,0,0.0,0
2025-07-27,602046.42,28884.47,22874.69,3308.54,9574.75,0,0.0,0
2025-08-03,581273.82,18858.71,17333.05,3598.87,11243.31,0,0.0,0
2025-08-10,609474.74,29861.84,25984.63,1962.07,18386.41,1,0.2,0
2025-08-17,561763.09,22150.63,19907.83,5681.96,10822.24,0,0.0,0
2025-08-24,565056.9,22876.62,20811.76,6810.68,10809.17,0,0.0,0
2025-08-31,524099.77,19886.75,17145.86,6996.6,8057.23,0,0.0,0
2025-09-07,547524.75,22088.41,14557.54,2714.58,9180.8,0,0.0,0
2025-09-14,549230.31,27099.87,12710.5,4246.8,5992.04,0,0.0,0
2025-09-21,605611.44,29116.52,20126.48,62775.97,12205.86,1,0.1,0
2025-09-28,546391.97,28793.52,16623.97,1958.37,10609.57,0,0.0,0
2025-10-05,533352.88,27413.54,16641.79,1290.03,12798.47,0,0.0,0
2025-10-12,568322.04,25536.63,22882.25,7520.15,17338.98,0,0.0,0
2025-10-19,577252.69,29838.47,19991.73,7103.91,9824.76,0,0.0,0
2025-10-26,541805.1,26355.33,13467.76,6218.87,12237.54,0,0.0,0
2025-11-02,566237.99,27992.91,17173.09,4141.29,10780.78,0,0.0,0
2025-11-09,576639.73,25122.68,14793.35,3924.86,9395.84,0,0.0,0
2025-11-16,583219.16,26741.8,15161.49,4237.97,10655.56,0,0.0,0
2025-11-23,610285.61,24999.07,16685.94,4292.54,10295.32,0,0.0,0
2025-11-30,752142.14,40618.42,18211.55,52099.62,10773.68,0,0.0,1
2025-12-07,716021.76,34680.98,15655.98,82639.76,9097.33,0,0.0,1
2025-12-14,780195.59,41126.55,20262.11,1005.31,8269.31,0,0.0,1
2025-12-21,712095.93,38761.13,14095.55,7618.0,6436.64,0,0.0,1
